Source_File,Date_Added,Supermarket,Product_Category,Product_ID,Product_Name,Brand,Product_Price,Price_Per_Unit,Weight_g,Price_Per_kg,Energy_kcal_100_g,Fats_In_Product_g,Carbs_In_Product_g,Sugars_In_Product_g,Protein_In_Product_g,Salt_In_Product_g
"campina-high-protein-greek-style-yoghurt-1,5-fat-450-g-736025CUP.html",2026-06-26,Jumbo,Yoghurt,736025CUP,"Campina_High_Protein_Greek_Style_Yoghurt_1,5_%_Fat_450_g",Campina,2.1,4.6,450.4,4.7,71.5,6.8,15.3,15.3,45.0,0.3
campina-high-protein-greek-style-yoghurt-5-fat-450-g-736026CUP.html,2026-06-26,Jumbo,Yoghurt,736026CUP,Campina_High_Protein_Greek-Style_Yoghurt_5%_Fat_450_g,Campina,2.2,4.9,449.7,4.9,98.9,22.5,14.8,14.8,41.8,0.3
"campina-high-protein-greek-yoghurt-1,5-fat-1-kg-678562CUP.html",2026-06-26,Jumbo,Yoghurt,678562CUP,"Campina_High_Protein_Greek_Yoghurt_1,5%_Fat_1_kg",Campina,3.7,3.7,1000.0,3.7,74.8,15.0,40.0,40.0,100.0,1.0
campina-high-protein-greek-yoghurt-5-fat-1-kg-678581CUP.html,2026-06-26,Jumbo,Yoghurt,678581CUP,Campina_High_Protein_Greek_Yoghurt_5%_Fat_1_kg,Campina,3.8,3.8,1000.0,3.8,105.4,51.0,42.0,42.0,95.0,1.0
campina-magere-yoghurt-1-l-527014PAK.html,2026-06-26,Jumbo,Yoghurt,527014PAK,Campina_Magere_Yoghurt_1_L,Campina,1.7,1.7,1000.0,1.7,38.5,0.0,37.0,37.0,44.0,1.2
campina-magere-yoghurt-500-ml-526999PAK.html,2026-06-26,Jumbo,Yoghurt,526999PAK,Campina_Magere_Yoghurt_500_ml,Campina,1.2,2.4,500.0,2.4,39.9,0.0,20.0,20.0,23.5,0.7
campina-magere-yoghurt-extra-proteine-1-l-736022PAK.html,2026-06-26,Jumbo,Yoghurt,736022PAK,Campina_Magere_Yoghurt_Extra_Proteïne_1_L,Campina,2.0,2.0,1000.0,2.0,49.0,1.0,50.0,50.0,,1.5
campina-milde-halfvolle-yoghurt-1-l-31677PAK.html,2026-06-26,Jumbo,Yoghurt,31677PAK,Campina_Milde_Halfvolle_Yoghurt_1_L,Campina,1.9,1.9,1000.0,1.9,49.2,15.0,38.0,38.0,40.0,1.1
campina-volle-yoghurt-1-l-526937PAK.html,2026-06-26,Jumbo,Yoghurt,526937PAK,Campina_Volle_Yoghurt_1_L,Campina,2.0,2.0,1000.0,2.0,62.6,31.0,37.0,37.0,39.0,1.1
campina-volle-yoghurt-500-ml-526966PAK.html,2026-06-26,Jumbo,Yoghurt,526966PAK,Campina_Volle_Yoghurt_500_ml,Campina,1.3,2.6,500.0,2.6,59.8,15.0,17.5,17.5,19.0,0.6
campina-volle-yoghurt-extra-proteine-1-l-736024PAK.html,2026-06-26,Jumbo,Yoghurt,736024PAK,Campina_Volle_Yoghurt_Extra_Proteïne_1_L,Campina,2.3,2.3,1000.0,2.3,73.9,30.0,51.0,,,1.5
danone-af-en-toetje-yoghurt-sprinklins-220-g-178334STK.html,2026-06-26,Jumbo,Yoghurt,178334STK,Danone_Af_en_Toetje_Yoghurt_Sprinklins_220_g,Danone,2.0,9.0,219.9,9.1,101.6,7.0,28.8,21.8,10.6,0.3
danone-mm-s-vanilleyoghurt-120-g-578882STK.html,2026-06-26,Jumbo,Yoghurt,578882STK,Danone_M&M's_Vanilleyoghurt_120_g,Danone,1.3,10.8,120.0,10.8,126.7,4.4,22.3,21.1,5.6,0.2
danoontje-yoghurt-tussendoortje-aardbei-70g-578830PAK.html,2026-06-26,Jumbo,Yoghurt,578830PAK,Danoontje_Yoghurt_Tussendoortje_Aardbei_70g,Danoontje,1.0,14.1,70.0,14.3,76.2,1.8,6.6,5.5,2.5,0.1
danoontje-yoghurt-tussendoortje-appel-aardbei-70-g-577795ZK.html,2026-06-26,Jumbo,Yoghurt,577795ZK,Danoontje_Yoghurt_Tussendoortje_Appel_Aardbei_70_g,Danoontje,1.0,14.1,70.0,14.3,77.7,1.9,6.7,5.1,2.5,0.1
danoontje-yoghurt-tussendoortje-banaan-70g-577806ZK.html,2026-06-26,Jumbo,Yoghurt,577806ZK,Danoontje_Yoghurt_Tussendoortje_Banaan_70g,Danoontje,1.0,14.1,70.0,14.3,79.3,1.8,7.2,6.0,2.5,0.1
den-eelder-boeren-milde-halfvolle-yoghurt-1-l-48947PAK.html,2026-06-26,Jumbo,Yoghurt,48947PAK,Den_Eelder_Boeren_Milde_Halfvolle_Yoghurt_1_L,Den,1.9,1.9,1000.0,1.9,44.9,15.0,43.0,26.0,35.0,1.0
den-eelder-boeren-vanille-yoghurt-1-l-48948PAK.html,2026-06-26,Jumbo,Yoghurt,48948PAK,den_Eelder_Boeren_Vanille_Yoghurt_1_L,den,2.4,2.4,1000.0,2.4,87.5,36.0,104.0,86.0,33.0,1.1
den-eelder-boeren-volle-yoghurt-1-l-31782PAK.html,2026-06-26,Jumbo,Yoghurt,31782PAK,den_Eelder_Boeren_Volle_Yoghurt_1_L,den,2.2,2.2,1000.0,2.2,63.8,40.0,40.0,22.0,35.0,1.1
"den-eelder-geiten-yoghurt-0,5-l-37129PAK.html",2026-06-26,Jumbo,Yoghurt,37129PAK,"Den_Eelder_Geiten_Yoghurt_0,5_L",Den,1.9,3.8,500.0,3.8,62.9,19.5,17.5,11.0,17.0,0.5
dodoni-authentieke-griekse-yoghurt-0-vet-170-g-577793CUP.html,2026-06-26,Jumbo,Yoghurt,577793CUP,Dodoni_Authentieke_Griekse_Yoghurt_0%_Vet_170_g,Dodoni,1.3,7.6,170.0,7.6,48.0,,4.8,4.8,15.3,
dodoni-authentieke-griekse-yoghurt-0-vet-500-g-257407BKR.html,2026-06-26,Jumbo,Yoghurt,257407BKR,Dodoni_Authentieke_Griekse_Yoghurt_0%_Vet_500_g,Dodoni,2.7,5.4,500.0,5.4,48.0,,14.0,14.0,45.0,
dodoni-authentieke-griekse-yoghurt-10-vet-1-kg-583152POT.html,2026-06-26,Jumbo,Yoghurt,583152POT,Dodoni_Authentieke_Griekse_Yoghurt_10%_Vet_1_kg,Dodoni,5.0,5.0,1000.0,5.0,124.3,,29.0,29.0,59.0,
dodoni-authentieke-griekse-yoghurt-10-vet-170-g-577802CUP.html,2026-06-26,Jumbo,Yoghurt,577802CUP,Dodoni_Authentieke_Griekse_Yoghurt_10%_Vet_170_g,Dodoni,1.5,8.8,170.1,8.8,124.3,,4.9,4.9,10.0,
dodoni-authentieke-griekse-yoghurt-10-vet-500-g-257453BKR.html,2026-06-26,Jumbo,Yoghurt,257453BKR,Dodoni_Authentieke_Griekse_Yoghurt_10%_Vet_500_g,Dodoni,3.0,6.0,500.0,6.0,124.3,,14.5,14.5,29.5,
halfvolle-vanille-yoghurt-1-l-257952PAK.html,2026-06-26,Jumbo,Yoghurt,257952PAK,Halfvolle_Vanille_Yoghurt_1_L,Halfvolle,1.5,1.5,1000.0,1.5,80.1,,126.0,118.0,,1.1
halfvolle-yoghurt-1-l-619619PAK.html,2026-06-26,Jumbo,Yoghurt,619619PAK,Halfvolle_Yoghurt_1_L,Halfvolle,1.0,1.0,1000.0,1.0,50.0,16.0,40.0,40.0,48.0,1.4
hipro-protein-kwark-banaan-200-g-578578ZK.html,2026-06-26,Jumbo,Yoghurt,578578ZK,HiPRO_Protein_Kwark_Banaan_200_g,HiPRO,2.0,10.0,200.0,10.0,70.5,0.8,8.0,6.6,24.8,0.2
hipro-protein-kwark-banaan-6-x-200-g-578578DSL.html,2026-06-26,Jumbo,Yoghurt,578578DSL,HiPRO_Protein_Kwark_Banaan_6_x_200_g,HiPRO,11.9,10.0,1200.0,9.9,70.5,4.8,48.0,39.6,148.8,1.4
hipro-protein-kwark-bosvruchten-200g-578690ZK.html,2026-06-26,Jumbo,Yoghurt,578690ZK,HiPRO_Protein_Kwark_Bosvruchten_200g,HiPRO,2.0,10.0,200.0,10.0,69.3,0.8,7.2,5.6,24.8,0.2
hipro-protein-kwark-bosvruchten-6-x-200-g-578690DSL.html,2026-06-26,Jumbo,Yoghurt,578690DSL,HiPRO_Protein_Kwark_Bosvruchten_6_x__200_g,HiPRO,11.9,10.0,1200.0,9.9,69.3,4.8,43.2,33.6,148.8,1.4
